INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_OT;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_IP;
;problem_500_100_4_2_5.txt;8337;8337;0;8346;8346;11;1260;1260;11;8346;8346;0;8346;8346;0;8346;8346;0
;problem_500_100_4_3_5.txt;13018;13018;0;13037;13037;11;1350;1350;11;13037;13037;0;13037;13037;0;13037;13037;0
;problem_500_100_4_4_5.txt;16713;16713;0;16751;16751;11;1368;1368;11;16751;16751;0;16751;16751;0;16751;16751;0
;problem_500_100_4_5_5.txt;20869;20869;0;17641;17641;11;1213;1213;11;20948;20948;0;20948;20948;0;20948;20948;0
;problem_500_500_1_1_5.txt;21577;58126;0;21637;24682;11;394;7720;11;21655;58221;0;21655;58221;0;21655;58221;0
;problem_500_500_1_2_5.txt;39690;84630;0;39668;48009;11;477;8739;11;39792;84725;0;39792;84725;0;39792;84725;0
;problem_500_500_1_3_5.txt;63296;99525;0;63439;65234;11;452;8415;11;63446;99618;0;63446;99618;0;63446;99618;0
;problem_500_500_1_4_5.txt;84714;114476;0;85129;82862;11;417;7718;11;85133;114680;0;85133;114680;0;85133;114680;0
;problem_500_500_1_5_5.txt;103002;122114;0;85637;88239;11;352;8514;11;103029;122118;0;103029;122118;10;103020;122116;0
;problem_500_500_2_1_5.txt;21549;25569;0;21624;22134;11;908;1687;11;21655;25685;0;21655;25685;0;21655;25685;0
;problem_500_500_2_2_5.txt;39616;45667;0;39757;40374;11;937;1817;11;39796;45855;0;39796;45855;1;39796;45855;0
;problem_500_500_2_3_5.txt;63045;70158;0;63384;65354;11;628;1277;11;63448;70566;0;63448;70566;3;63447;70565;0
;problem_500_500_2_4_5.txt;85058;91045;0;85121;85468;11;914;1738;11;85136;91118;0;85136;91118;6;85131;91110;0
;problem_500_500_2_5_5.txt;102906;107433;0;85637;86069;11;675;1456;11;103030;107544;0;103030;107544;9;103029;107544;0
;problem_500_500_3_1_5.txt;21277;23267;0;21301;22261;11;336;576;11;21301;23291;0;21301;23291;1;21301;23291;0
;problem_500_500_3_2_5.txt;40388;43288;0;40613;42373;11;298;538;11;40613;43513;0;40613;43513;3;40613;43513;0
;problem_500_500_3_3_5.txt;61643;65203;0;61987;64537;11;263;503;11;61987;65547;0;61987;65547;4;61987;65547;0
;problem_500_500_3_4_5.txt;82128;86218;0;82184;85374;11;283;513;11;82351;86441;0;82351;86441;7;82351;86441;0
